doi,year,title,journal_name,publisher,bso_classification
10.1103/PhysRevA.101.042307,2020,Finding good quantum codes using the Cartan form,Physical Review A,American Physical Society (APS),"Physical sciences, Astronomy"
10.1111/eva.12989,2020,Multi‐seasonal modelling of plant‐nematode interactions reveals efficient plant resistance deployment strategies,Evolutionary Applications,Wiley,"Earth, Ecology, 
Energy and applied biology"
10.1111/jvh.13321,2020,Sofosbuvir‐Daclatasvir is suboptimal in patients with genotype 2 chronic hepatitis C infection: real‐life experience from the HEPATHER ANRS CO22 cohort,Journal of Viral Hepatitis,Wiley,"Computer and 
 information sciences"
10.1371/journal.pgen.1008758,2020,The Drosophila actin nucleator DAAM is essential for left-right asymmetry,PLOS Genetics,Public Library of Science (PLoS),Biology (fond.)
10.1186/s13059-020-02006-2,2020,Single-cell RNA-seq with spike-in cells enables accurate quantification of cell-specific drug effects in pancreatic islets,Genome Biology,Springer Science and Business Media LLC,Biology (fond.)
10.17239/JOWR-2020.11.03.04,2020,Expressive writing in school children: Effects on well-being and working memory,Journal of Writing Research,ARLE (International Association for Research in L1 Education),Social sciences
10.1016/j.pranut.2020.03.007,2020,"Obésité, perturbateurs endocriniens et épigénétique",Pratiques en nutrition,Elsevier BV,Mathematics
10.1038/s41598-020-63900-0,2020,Context-dependent regulation of endothelial cell metabolism: differential effects of the PPARβ/δ agonist GW0742 and VEGF-A,Scientific Reports,Springer Science and Business Media LLC,"Physical sciences, Astronomy"
10.1016/j.aim.2020.107170,2020,"Operads of (noncrossing) partitions, interacting bialgebras, and moment-cumulant relations",Advances in Mathematics,Elsevier BV,"Physical sciences, Astronomy"
10.1364/FIO.2019.JTu3A.76,2019,Towards III-nitride on silicon active photonic circuits,Frontiers in Optics + Laser Science APS/DLS,OSA,Engineering
10.1109/TAP.2020.2963923,2020,An Exponential-Based DGTD Method for Modeling 3-D Plasma-Surrounded Hypersonic Vehicles,IEEE Transactions on Antennas and Propagation,Institute of Electrical and Electronics Engineers (IEEE),"Computer and 
 information sciences"
10.1093/mnras/stz3142,2020,The first six months of the Advanced LIGO’s and Advanced Virgo’s third observing run with GRANDMA,Monthly Notices of the Royal Astronomical Society,Oxford University Press (OUP),Humanities
10.3390/cancers12051119,2020,Warburg and Beyond: The Power of Mitochondrial Metabolism to Collaborate or Replace Fermentative Glycolysis in Cancer,Cancers,MDPI AG,"Earth, Ecology, 
Energy and applied biology"
10.1038/s41467-020-16070-6,2020,The NMDA receptor regulates competition of epithelial cells in the Drosophila wing,Nature Communications,Springer Science and Business Media LLC,Medical research
10.1038/s41591-020-0890-8,2020,Possible consequences of the COVID-19 pandemic on the use of biospecimens from cancer biobanks for research in academia and bioindustry,Nature Medicine,Springer Science and Business Media LLC,Mathematics
10.1088/1475-7516/2020/03/050,2020,Science case for the Einstein telescope,Journal of Cosmology and Astroparticle Physics,IOP Publishing,Chemistry
10.1038/s41418-020-0547-7,2020,R-spondin2 signaling is required for oocyte-driven intercellular communication and follicular growth,Cell Death &amp; Differentiation,Springer Science and Business Media LLC,Medical research
10.1016/j.jas.2020.105113,2020,"The Eemian: Global warming, ecosystem upheaval, demographic collapse and cannibalism at Moula-Guercy. A reply to Slimak and Nicholson (2020)",Journal of Archaeological Science,Elsevier BV,"Earth, Ecology, 
Energy and applied biology"
10.1007/978-3-030-46970-2_12,2020,Analysis of Discrete Models for Ecosystem Ecology,Communications in Computer and Information Science,Springer International Publishing,"Earth, Ecology, 
Energy and applied biology"
10.1051/ao4elt/201003008,2020,MOSP: Monitor of Outer Scale profile,1st AO4ELT conference - Adaptive Optics for Extremely Large Telescopes,EDP Sciences,"Physical sciences, Astronomy"
10.1038/s41380-020-0758-9,2020,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and the neuroendocrine stress axis,Molecular Psychiatry,Springer Science and Business Media LLC,"Physical sciences, Astronomy"
10.1126/science.aaz6306,2020,Sample collection from asteroid (162173) Ryugu by Hayabusa2: Implications for surface evolution,Science,American Association for the Advancement of Science (AAAS),"Earth, Ecology, 
Energy and applied biology"
10.1163/15685411-00003316,2020,Integrative taxonomy of Meloidogyne paranaensis populations belonging to different esterase phenotypes,Nematology,Brill,"Earth, Ecology, 
Energy and applied biology"
10.1038/s41467-020-16026-w,2020,Adipocyte Piezo1 mediates obesogenic adipogenesis through the FGF1/FGFR1 signaling pathway in mice,Nature Communications,Springer Science and Business Media LLC,"Physical sciences, Astronomy"
10.1016/j.soildyn.2020.106200,2020,Influence of the variability of soil profile properties on weak and strong seismic response,Soil Dynamics and Earthquake Engineering,Elsevier BV,"Computer and 
 information sciences"
10.1088/1751-8121/ab7ad0,2020,Breaking of Josephson junction oscillations and onset of quantum turbulence in Bose–Einstein condensates,Journal of Physics A: Mathematical and Theoretical,IOP Publishing,Medical research
10.1103/PhysRevE.101.042210,2020,Interaction of cavity solitons on an unstable background,Physical Review E,American Physical Society (APS),"Physical sciences, Astronomy"
10.1103/PhysRevD.101.084002,2020,Optically targeted search for gravitational waves emitted by core-collapse supernovae during the first and second observing runs of advanced LIGO and advanced Virgo,Physical Review D,American Physical Society (APS),"Physical sciences, Astronomy"
10.7554/eLife.54493,2020,Dissecting the phenotypic and functional heterogeneity of mouse inflammatory osteoclasts by the expression of Cx3cr1,eLife,"eLife Sciences Publications, Ltd",Biology (fond.)
10.1186/s12915-020-00786-4,2020,Discordant evolution of mitochondrial and nuclear yeast genomes at population level,BMC Biology,Springer Science and Business Media LLC,Social sciences
10.1002/aqc.3368,2020,The effects of marine protected areas on ecosystem recovery and fisheries using a comparative modelling approach,Aquatic Conservation: Marine and Freshwater Ecosystems,Wiley,Mathematics
10.1093/mnrasl/slz167,2020,Chemodynamical properties of the Anticentre Stream: a surviving disc fossil from a past satellite interaction,Monthly Notices of the Royal Astronomical Society: Letters,Oxford University Press (OUP),"Physical sciences, Astronomy"
10.1007/s11187-020-00351-x,2021,Where do we go? VC firm heterogeneity and the exit routes of newly listed high-tech firms,Small Business Economics,Springer Science and Business Media LLC,Mathematics
10.1016/j.physletb.2020.135439,2020,Search for dark matter towards the Galactic Centre with 11 years of ANTARES data,Physics Letters B,Elsevier BV,Mathematics
10.1016/j.cell.2020.04.035,2020,SARS-CoV-2 Receptor ACE2 Is an Interferon-Stimulated Gene in Human Airway Epithelial Cells and Is Detected in Specific Cell Subsets across Tissues,Cell,Elsevier BV,Mathematics
10.1371/journal.pgen.1008777,2020,An Out-of-Patagonia migration explains the worldwide diversity and distribution of Saccharomyces eubayanus lineages,PLOS Genetics,Public Library of Science (PLoS),"Physical sciences, Astronomy"
10.1093/mnras/stz3546,2020,The Pristine survey – IX. CFHT ESPaDOnS spectroscopic analysis of 115 bright metal-poor candidate stars,Monthly Notices of the Royal Astronomical Society,Oxford University Press (OUP),Social sciences
10.1029/2020GL087142,2020,"Imbricated Aseismic Slip and Fluid Diffusion Drive a Seismic Swarm in the Corinth Gulf, Greece",Geophysical Research Letters,American Geophysical Union (AGU),"Earth, Ecology, 
Energy and applied biology"
10.3847/2041-8213/ab75f5,2020,GW190425: Observation of a Compact Binary Coalescence with Total Mass ∼ 3.4 M<sub>⊙</sub>,The Astrophysical Journal Letters,American Astronomical Society,Biology (fond.)
10.7554/eLife.53895,2020,R-spondin signalling is essential for the maintenance and differentiation of mouse nephron progenitors,eLife,"eLife Sciences Publications, Ltd",Biology (fond.)
10.1038/s41598-020-64700-2,2020,Genome-wide 5-hydroxymethylcytosine (5hmC) emerges at early stage of in vitro differentiation of a putative hepatocyte progenitor,Scientific Reports,Springer Science and Business Media LLC,Medical research
10.15252/emmm.202012634,2020,‘All In’: a pragmatic framework for COVID‐19 testing and action on a global scale,EMBO Molecular Medicine,EMBO,Biology (fond.)
10.3390/cells9051133,2020,PPAR Beta/Delta and the Hallmarks of Cancer,Cells,MDPI AG,Mathematics
10.1016/j.jenvman.2020.110757,2020,Improving marine protected area governance through collaboration and co-production,Journal of Environmental Management,Elsevier BV,"Physical sciences, Astronomy"
10.1088/1742-5468/ab74c4,2020,Periodically driven jump processes conditioned on large deviations,Journal of Statistical Mechanics: Theory and Experiment,IOP Publishing,Mathematics
10.1073/pnas.1913707117,2020,Starvation and antimetabolic therapy promote cytokine release and recruitment of immune cells,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,"Earth, Ecology, 
Energy and applied biology"
10.1137/19M1292424,2020,A Macroscopic Model for Platooning in Highway Traffic,SIAM Journal on Applied Mathematics,Society for Industrial & Applied Mathematics (SIAM),Mathematics
10.1093/mnras/staa045,2020,The impact of AGN feedback on galaxy intrinsic alignments in the Horizon simulations,Monthly Notices of the Royal Astronomical Society,Oxford University Press (OUP),Humanities
10.3389/fonc.2020.00641,2020,Shaping Up the Tumor Microenvironment With Cellular Fibronectin,Frontiers in Oncology,Frontiers Media SA,"Earth, Ecology, 
Energy and applied biology"
10.1016/B978-0-12-813677-5.09987-9,2018,Preface,Cooperative and Graph Signal Processing,Elsevier,"Computer and 
 information sciences"
10.1007/s00236-020-00367-6,2020,SMT-based generation of symbolic automata,Acta Informatica,Springer Science and Business Media LLC,Biology (fond.)
10.1016/j.techfore.2020.120069,2020,Why are rewards not delivered on time in rewards-based crowdfunding campaigns? An empirical exploration,Technological Forecasting and Social Change,Elsevier BV,"Computer and 
 information sciences"
10.3390/cells9051103,2020,Mouse Gonad Development in the Absence of the Pro-Ovary Factor WNT4 and the Pro-Testis Factor SOX9,Cells,MDPI AG,Medical research
10.1051/medsci/2020058,2020,"Pierre Chardin, un pionnier de la découverte des gènes et protéines de la superfamille Ras",médecine/sciences,EDP Sciences,Mathematics
10.1007/s00438-020-01677-7,2020,Evolutionarily conserved plant genes responsive to root-knot nematodes identified by comparative genomics,Molecular Genetics and Genomics,Springer Science and Business Media LLC,Medical research
10.1137/19M1255616,2020,A Multiscale Hybrid-Mixed Method for the Helmholtz Equation in Heterogeneous Domains,SIAM Journal on Numerical Analysis,Society for Industrial & Applied Mathematics (SIAM),Mathematics
10.1017/S1360674320000155,2020,Lexical diffusion in the making: the lengthening of Middle English /a/ during the eighteenth century and across the diasystem of English,English Language and Linguistics,Cambridge University Press (CUP),Humanities
10.3389/fgene.2020.00293,2020,Transcriptional Activity and Protein Levels of Horizontally Acquired Genes in Yeast Reveal Hallmarks of Adaptation to Fermentative Environments,Frontiers in Genetics,Frontiers Media SA,Humanities
10.1364/OE.393048,2020,Potential for nocturnal satellite detection of suspended matter concentrations in coastal waters using a panchromatic band: a feasibility study based on VIIRS (NASA/NOAA) spectral and radiometric specifications,Optics Express,The Optical Society,"Physical sciences, Astronomy"
10.1186/s12870-020-2310-0,2020,"Characterization of genetic determinants of the resistance to phylloxera, Daktulosphaira vitifoliae, and the dagger nematode Xiphinema index from muscadine background",BMC Plant Biology,Springer Science and Business Media LLC,Medical research
10.1242/jcs.242768,2020,First person – Etienne Boulter,Journal of Cell Science,The Company of Biologists,Biology (fond.)
10.1017/S1743921318005124,2020,The AGN dependence on cluster mass,Proceedings of the International Astronomical Union,Cambridge University Press (CUP),"Earth, Ecology, 
Energy and applied biology"
10.3847/1538-4357/aa8c03,2017,The Chemical Abundance Structure of the Inner Milky Way: A Signature of “Upside-down” Disk Formation,The Astrophysical Journal,American Astronomical Society,"Physical sciences, Astronomy"
10.1109/ICAR46387.2019.8981549,2019,Real-time RGB-D semantic keyframe SLAM based on image segmentation learning from industrial CAD models,2019 19th International Conference on Advanced Robotics (ICAR),IEEE,"Computer and 
 information sciences"
10.1016/j.ocecoaman.2020.105232,2020,Multi-zone marine protected areas: Assessment of ecosystem and fisheries benefits using multiple ecosystem models,Ocean &amp; Coastal Management,Elsevier BV,"Earth, Ecology, 
Energy and applied biology"
10.1038/s41598-020-64863-y,2020,Generation of a conditional transgenic mouse model expressing human Phospholipase A2 Receptor 1,Scientific Reports,Springer Science and Business Media LLC,Medical research
10.1051/ao4elt/201003006,2020,The Software Package PAOLAC: an embedment of the analytical code PAOLA within the CAOS problem-solving environment,1st AO4ELT conference - Adaptive Optics for Extremely Large Telescopes,EDP Sciences,"Computer and 
 information sciences"
10.18632/aging.103048,2020,PP2A subunit PPP2R2C is downregulated in the brains of Alzheimer’s transgenic mice,Aging,"Impact Journals, LLC","Earth, Ecology, 
Energy and applied biology"
10.1002/cmdc.202000218,2020,Sulfonylguanidine Derivatives as Potential Antimelanoma Agents,ChemMedChem,Wiley,"Physical sciences, Astronomy"
10.1098/rstb.2019.0268,2020,Interdisciplinary challenges for elucidating human olfactory attractiveness,Philosophical Transactions of the Royal Society B: Biological Sciences,The Royal Society,Chemistry
10.1007/s00531-020-01877-x,2020,Thermal and mechanical evolution of collisional and accretionary orogens: a volume in honour of Karel Schulmann—an introduction,International Journal of Earth Sciences,Springer Science and Business Media LLC,"Physical sciences, Astronomy"
10.1785/0220190248,2020,The Community Code Verification Exercise for Simulating Sequences of Earthquakes and Aseismic Slip (SEAS),Seismological Research Letters,Seismological Society of America (SSA),"Earth, Ecology, 
Energy and applied biology"
10.1088/2051-672X/ab8751,2020,Oil-water separation device based on super-hydrophobic material with multi-scale surface structure,Surface Topography: Metrology and Properties,IOP Publishing,Engineering
10.1021/acs.jpca.9b11864,2020,Alkali Metal Cations Bonding to Carboxylate Anions: Studies using Mass Spectrometry and Quantum Chemical Calculations,The Journal of Physical Chemistry A,American Chemical Society (ACS),"Earth, Ecology, 
Energy and applied biology"
10.1021/acs.jmedchem.0c01555,2020,A Novel N-Substituted Valine Derivative with Unique Peroxisome Proliferator-Activated Receptor γ Binding Properties and Biological Activities,Journal of Medicinal Chemistry,American Chemical Society (ACS),"Earth, Ecology, 
Energy and applied biology"
10.3389/fmars.2020.00278,2020,A New Network for the Advancement of Marine Biotechnology in Europe and Beyond,Frontiers in Marine Science,Frontiers Media SA,"Earth, Ecology, 
Energy and applied biology"
10.1109/LAWP.2020.2985399,2020,3D-Printed transmit-array antenna for broadband backhaul 5G links at V band,IEEE Antennas and Wireless Propagation Letters,Institute of Electrical and Electronics Engineers (IEEE),"Computer and 
 information sciences"
10.1051/medsci/2020080,2020,Les neuropilines,médecine/sciences,EDP Sciences,"Earth, Ecology, 
Energy and applied biology"
10.1016/j.worlddev.2020.105016,2020,Unequal capabilities and natural resource management: The case of Côte d’Ivoire,World Development,Elsevier BV,"Earth, Ecology, 
Energy and applied biology"
10.1016/j.icarus.2020.113849,2020,"A benchmarking and sensitivity study of the full two-body gravitational dynamics of the DART mission target, binary asteroid 65803 Didymos",Icarus,Elsevier BV,Social sciences
10.1093/mnras/stw2994,2017,High-Resolution Altitude Profiles of the Atmospheric Turbulence with PML at the Sutherland Observatory,Monthly Notices of the Royal Astronomical Society,Oxford University Press (OUP),Social sciences
10.1186/s12864-020-6764-0,2020,"Functional insights from the GC-poor genomes of two aphid parasitoids, Aphidius ervi and Lysiphlebus fabarum",BMC Genomics,Springer Science and Business Media LLC,Biology (fond.)
10.5334/joc.31,2018,Simple and Complex Working Memory Tasks Allow Similar Benefits of Information Compression,Journal of Cognition,"Ubiquity Press, Ltd.",Medical research
10.1016/j.mednuc.2020.03.002,2021,Métabolomique et imagerie TEP-FDG des cancers du sein,Médecine Nucléaire,Elsevier BV,Medical research
10.1556/2062.2020.00007,2020,Positional factors in syllabification,Acta Linguistica Academica,Akademiai Kiado Zrt.,Medical research
10.1785/0120190173,2020,Multiscale Estimation of Event Arrival Times and Their Uncertainties in Hydroacoustic Records from Autonomous Oceanic Floats,Bulletin of the Seismological Society of America,Seismological Society of America (SSA),"Physical sciences, Astronomy"
10.1140/epjc/s10052-020-8015-6,2020,Search for neutrino counterparts of gravitational-wave events detected by LIGO and Virgo during run O2 with the ANTARES telescope,The European Physical Journal C,Springer Science and Business Media LLC,"Earth, Ecology, 
Energy and applied biology"
10.1093/mnras/stx2063,2017,Erratum: Polarization properties of OH emission in planetary nebulae,Monthly Notices of the Royal Astronomical Society,Oxford University Press (OUP),"Physical sciences, Astronomy"
10.1017/S1743921319008536,2019,Constraining the Milky Way non-axisymmetries with Gaia,Proceedings of the International Astronomical Union,Cambridge University Press (CUP),"Physical sciences, Astronomy"
10.1016/j.icarus.2020.113871,2020,The role of fragment shapes in the simulations of asteroids as gravitational aggregates,Icarus,Elsevier BV,Medical research
10.1039/d0nj01229g,2020,"Synthesis and characterization of new heterocycles related to aryl[<i>e</i>][1,3]diazepinediones. rearrangement to 2,4-diamino-1,3,5-triazine derivatives",New Journal of Chemistry,Royal Society of Chemistry (RSC),"Computer and 
 information sciences"
10.1051/0004-6361/201936255,2020,An image of the dust sublimation region in the nucleus of NGC 1068,Astronomy & Astrophysics,EDP Sciences,Medical research
10.3934/nhm.2020012,2020,Comparative study of macroscopic traffic flow models at road junctions,Networks & Heterogeneous Media,American Institute of Mathematical Sciences (AIMS),Biology (fond.)
10.1007/s10933-020-00131-3,2020,Oxic and post-oxic chemical changes related to eogenesis and mesogenesis in a Miocene paleolake,Journal of Paleolimnology,Springer Science and Business Media LLC,"Physical sciences, Astronomy"
10.1364/OIC.2019.TC.3,2019,Narrowband Angle Filter,Optical Interference Coatings Conference (OIC) 2019,OSA,Engineering
10.1016/j.cmi.2019.12.021,2020,It takes two to tango: two Aeromonas isolates combine virulence and multidrug resistance in flap infection following leech therapy,Clinical Microbiology and Infection,Elsevier BV,"Physical sciences, Astronomy"
10.3390/app10103474,2020,A Photonically-Excited Leaky-Wave Antenna Array at E-Band for 1-D Beam Steering,Applied Sciences,MDPI AG,Medical research
10.1007/s11695-020-04728-5,2020,Primary Roux-en-Y Gastric Bypass Results in Greater Weight Loss at 15-Year Follow-Up Compared with Secondary Roux-en-Y Gastric Bypass After Failure of Gastric Band or Mason McLean Vertical Gastroplasty,Obesity Surgery,Springer Science and Business Media LLC,"Computer and 
 information sciences"
10.1016/j.icarus.2020.113867,2020,Collisional heating and compaction of small bodies: Constraints for their origin and evolution,Icarus,Elsevier BV,"Computer and 
 information sciences"
10.3847/1538-4357/ab8937,2020,Formation of Giant Planet Satellites,The Astrophysical Journal,American Astronomical Society,Medical research
10.1016/j.bulcan.2020.05.002,2020,Le Bulletin du Cancer ouvre ses colonnes à l’AERIO,Bulletin du Cancer,Elsevier BV,"Physical sciences, Astronomy"
10.1016/j.na.2020.112003,2020,On the global solvability of the axisymmetric Boussinesq system with critical regularity,Nonlinear Analysis,Elsevier BV,Biology (fond.)
10.5194/sd-27-35-2020,2020,High-resolution late Holocene sedimentary cores record the long history of the city of C&amp;#225;diz (south-western Spain),Scientific Drilling,Copernicus GmbH,Biology (fond.)
10.1088/2053-1583/ab817a,2020,Probing momentum-indirect excitons by near-resonance photoluminescence excitation spectroscopy in WS2 monolayer,2D Materials,IOP Publishing,"Physical sciences, Astronomy"
10.1152/jn.00488.2019,2020,Visual illusions via neural dynamics: Wilson–Cowan-type models and the efficient representation principle,Journal of Neurophysiology,American Physiological Society,Medical research
10.1007/s00454-020-00213-z,2020,Almost All String Graphs are Intersection Graphs of Plane Convex Sets,Discrete &amp; Computational Geometry,Springer Science and Business Media LLC,Medical research
10.1016/j.cell.2020.04.044,2020,"Genomic History of Neolithic to Bronze Age Anatolia, Northern Levant, and Southern Caucasus",Cell,Elsevier BV,Medical research
10.1093/gji/ggz564,2020,"Geodetic evidence for shallow creep along the Quito fault, Ecuador",Geophysical Journal International,Oxford University Press (OUP),"Earth, Ecology, 
Energy and applied biology"
10.1007/s00779-020-01415-1,2020,Autonomous search in a social and ubiquitous Web,Personal and Ubiquitous Computing,Springer Science and Business Media LLC,"Earth, Ecology, 
Energy and applied biology"
10.1103/PhysRevA.101.052111,2020,Atomic test of higher-order interference,Physical Review A,American Physical Society (APS),"Physical sciences, Astronomy"
10.1093/mnras/staa444,2020,Accelerated orbital decay of supermassive black hole binaries in merging nuclear star clusters,Monthly Notices of the Royal Astronomical Society,Oxford University Press (OUP),"Computer and 
 information sciences"
10.1364/QIM.2019.S3D.3,2019,Quantum metrology for fiber laser applications,Quantum Information and Measurement (QIM) V: Quantum Technologies,OSA,"Physical sciences, Astronomy"
10.1186/s12544-020-00431-9,2020,"Variation of performance, of self-reported alertness and effort as a function of low doses of alcohol and of driving experience",European Transport Research Review,Springer Science and Business Media LLC,"Earth, Ecology, 
Energy and applied biology"
10.1364/QIM.2019.F4A.4,2019,Chip-based squeezing at a telecom wavelength,Quantum Information and Measurement (QIM) V: Quantum Technologies,OSA,"Physical sciences, Astronomy"
10.3997/2214-4609.201601190,2016,Crustal-scale Imaging from Ultra-long Offset Node Data by Full Waveform Inversion - How to Do It Right?,78th EAGE Conference and Exhibition 2016,European Association of Geoscientists & Engineers,"Earth, Ecology, 
Energy and applied biology"
10.1039/c9gc03620b,2020,Humin based resin for wood modification and property improvement,Green Chemistry,Royal Society of Chemistry (RSC),"Physical sciences, Astronomy"
10.1101/gr.253351.119,2020,Intragenic repeat expansion in the cell wall protein geneHPF1controls yeast chronological aging,Genome Research,Cold Spring Harbor Laboratory,"Earth, Ecology, 
Energy and applied biology"
10.1364/QIM.2019.T5A.38,2019,Quantum Description of Single Photon Detectors Including Timing-Jitter Effects,Quantum Information and Measurement (QIM) V: Quantum Technologies,OSA,"Physical sciences, Astronomy"
10.1080/00150193.2020.1722878,2020,Local polarization reversal in 36° Y-cut congruent lithium niobate by focused electron beam: forward domain growth,Ferroelectrics,Informa UK Limited,Medical research
10.7554/eLife.53972,2020,Sox8 and Sox9 act redundantly for ovarian-to-testicular fate reprogramming in the absence of R-spondin1 in mouse sex reversals,eLife,"eLife Sciences Publications, Ltd",Biology (fond.)
10.1038/s41467-020-16437-9,2020,Ptychography retrieval of fully polarized holograms from geometric-phase metasurfaces,Nature Communications,Springer Science and Business Media LLC,Medical research
10.1016/j.chemosphere.2020.126986,2020,Can contamination by major systemic insecticides affect the voracity of the harlequin ladybird?,Chemosphere,Elsevier BV,Medical research
10.3847/1538-4357/ab7afb,2020,ANTARES and IceCube Combined Search for Neutrino Point-like and Extended Sources in the Southern Sky,The Astrophysical Journal,American Astronomical Society,Biology (fond.)
10.1364/QIM.2019.F4A.1,2019,Synchronizing remote quantum network stations using an all-optical method,Quantum Information and Measurement (QIM) V: Quantum Technologies,OSA,"Physical sciences, Astronomy"
10.1016/j.econlet.2020.109281,2020,Unpleasant arithmetic of socially responsible investment,Economics Letters,Elsevier BV,Chemistry
10.1029/2020JB019781,2020,Thank You to Our 2019 Reviewers,Journal of Geophysical Research: Solid Earth,American Geophysical Union (AGU),"Earth, Ecology, 
Energy and applied biology"
10.1103/PhysRevA.101.053626,2020,Instability threshold in a large balanced magneto-optical trap,Physical Review A,American Physical Society (APS),"Physical sciences, Astronomy"
10.1172/JCI131842,2020,PLA2G1B is involved in CD4 anergy and CD4 lymphopenia in HIV-infected patients,Journal of Clinical Investigation,American Society for Clinical Investigation,Medical research
10.1111/nph.16622,2020,Regulating the regulator: nitric oxide control of post‐translational modifications,New Phytologist,Wiley,Medical research
10.1007/s00424-020-02406-0,2020,Erythroid glucose transport in health and disease,Pflügers Archiv - European Journal of Physiology,Springer Science and Business Media LLC,Medical research
10.1111/ele.13530,2020,How community adaptation affects biodiversity–ecosystem functioning relationships,Ecology Letters,Wiley,"Physical sciences, Astronomy"
10.3997/2214-4609.201901224,2019,Wavefield Reconstruction Inversion With Enhanced Hybrid Tikhonov and TV Regularization for Imaging Piece-Wise Smooth Media,81st EAGE Conference and Exhibition 2019,European Association of Geoscientists & Engineers,"Computer and 
 information sciences"
10.1177/0017896920919777,2020,"Relationship between coaches’ health promotion activities, sports experience and health among adults",Health Education Journal,SAGE Publications,Medical research
10.7554/eLife.54935,2020,Opposing p53 and mTOR/AKT promote an in vivo switch from apoptosis to senescence upon telomere shortening in zebrafish,eLife,"eLife Sciences Publications, Ltd",Biology (fond.)
10.1007/s00193-020-00954-z,2020,Extension of geometrical shock dynamics for blast wave propagation,Shock Waves,Springer Science and Business Media LLC,Mathematics
10.1016/j.jbusres.2020.05.024,2020,The interplay of brand-line assortment size and alignability in the sales of brand-lines and line-extensions of frequently purchased products,Journal of Business Research,Elsevier BV,Mathematics
10.1038/s41534-020-0281-5,2020,Multipartite entanglement analysis from random correlations,npj Quantum Information,Springer Science and Business Media LLC,"Physical sciences, Astronomy"
10.1017/S1743921319008779,2019,New VIRAC proper motion maps show signature of galactic boxy/peanut bulge,Proceedings of the International Astronomical Union,Cambridge University Press (CUP),"Earth, Ecology, 
Energy and applied biology"
10.1093/gbe/evaa055,2020,Comparative and Evolutionary Genomics of Isolates Provide Insight into the Pathoadaptation of Aeromonas,Genome Biology and Evolution,Oxford University Press (OUP),Social sciences
10.1093/mnras/stz3296,2020,Formation of compact systems of super-Earths via dynamical instabilities and giant impacts,Monthly Notices of the Royal Astronomical Society,Oxford University Press (OUP),"Computer and 
 information sciences"
10.3390/RS12091445,2020,Influence of the Suspended Particulate Matter on the Satellite Radiance in the Sunglint Observation Geometry in Coastal Waters,Remote Sensing,MDPI AG,"Earth, Ecology, 
Energy and applied biology"
10.1039/d0gc00311e,2020,Eutectic hardener from food-based chemicals to obtain fully bio-based and durable thermosets,Green Chemistry,Royal Society of Chemistry (RSC),Biology (fond.)
10.3390/cancers12061364,2020,Bad Neighborhood: Fibrotic Stroma as a New Player in Melanoma Resistance to Targeted Therapies,Cancers,MDPI AG,"Physical sciences, Astronomy"
10.1103/PhysRevA.101.053601,2020,Magnus-force model for active particles trapped on superfluid vortices,Physical Review A,American Physical Society (APS),"Physical sciences, Astronomy"
10.3390/BIOMIMETICS5020015,2020,"Chitosan Extraction from Goliathus orientalis Moser, 1909: Characterization and Comparison with Commercially Available Chitosan",Biomimetics,MDPI AG,Biology (fond.)
10.1038/s41598-020-65246-z,2020,"New Structural insights into Kir channel gating from molecular simulations, HDX-MS and functional studies",Scientific Reports,Springer Science and Business Media LLC,"Earth, Ecology, 
Energy and applied biology"
10.1103/PhysRevApplied.13.041004,2020,Optimal Multiplexing of Spatially Encoded Information across Custom-Tailored Configurations of a Metasurface-Tunable Chaotic Cavity,Physical Review Applied,American Physical Society (APS),"Physical sciences, Astronomy"
10.1111/joes.12371,2020,RESEARCH ON STRUCTURAL HOLES: AN ASSESSMENT ON MEASUREMENT ISSUES,Journal of Economic Surveys,Wiley,Medical research
10.15252/embj.2019104163,2020,NR2F1 regulates regional progenitor dynamics in the mouse neocortex and cortical gyrification in BBSOAS patients,The EMBO Journal,EMBO,"Earth, Ecology, 
Energy and applied biology"
10.1108/TLO-02-2020-0023,2020,Interorganizational learning: a bibliometric review and research agenda,The Learning Organization,Emerald,Social sciences
10.1038/s41467-020-16433-z,2020,Collisional formation of top-shaped asteroids and implications for the origins of Ryugu and Bennu,Nature Communications,Springer Science and Business Media LLC,Social sciences
10.3389/fonc.2020.00723,2020,"Cysteine Depletion, a Key Action to Challenge Cancer Cells to Ferroptotic Cell Death",Frontiers in Oncology,Frontiers Media SA,"Earth, Ecology, 
Energy and applied biology"
10.1145/3377323,2020,A Multilingual Evaluation for Online Hate Speech Detection,ACM Transactions on Internet Technology,Association for Computing Machinery (ACM),Social sciences
10.1785/0220190137,2020,The InSight Blind Test: An Opportunity to Bring a Research Dataset into Teaching Programs,Seismological Research Letters,Seismological Society of America (SSA),Biology (fond.)
10.1038/s41598-020-65158-y,2020,Reciprocal semantic predictions drive categorization of scene contexts and objects even when they are separate,Scientific Reports,Springer Science and Business Media LLC,"Earth, Ecology, 
Energy and applied biology"
10.1007/s11695-020-04718-7,2020,Cascade Stomach as a Risk Factor for Incomplete Resection of the Gastric Fundus in Laparoscopic Sleeve Gastrectomy: a Point of Technique,Obesity Surgery,Springer Science and Business Media LLC,"Earth, Ecology, 
Energy and applied biology"
10.1371/journal.pone.0232119,2020,Competition and private R&D investment,PLOS ONE,Public Library of Science (PLoS),Humanities
