sourceuca_source_id,sourceuca_doi,sourceuca_year,sourceuca_corresponding,sourceuca_all_authors,sourceuca_corresponding_normalized,sourceuca_title,sourceuca_journal_name,sourceuca_journal_issn_l,sourceuca_journal_is_oa,sourceuca_journal_is_in_doaj,sourceuca_is_oa_normalized,sourceuca_oa_status_normalized,sourceuca_oa_host_type_normalized,sourceuca_oa_repo_normalized,sourceuca_publisher_by_doiprefix,sourceuca_bso_classification_fr,sourceuca_funder
SCOPUS_ID:85083221358,10.5381/JOT.2019.18.2.A14,2019,,Deantoni J.,non,System Based Interference Analysis in Capella.,The Journal of Object Technology,1660-1769,True,False,Accès ouvert,Gold,Editeur et archive ouverte,"Hal,Autres",AITO - Association Internationale pour les Technologies Objets,Informatique et sciences de l'information,
SCOPUS_ID:85083757339,10.1137/18M1234011,2020,,Monasse L.|Goudon T.,non,Fokker--Planck Approach of Ostwald Ripening: Simulation of a Modified Lifshitz--Slyozov--Wagner System with a Diffusive Correction,SIAM Journal on Scientific Computing,1064-8275,False,False,Accès fermé,Closed,Accès fermé,Autres,Society for Industrial & Applied Mathematics (SIAM),Mathématiques,
SCOPUS_ID:85083671433,10.1108/JOCM-06-2019-0174,2020,"Anand A.|Groupe de Recherche en Droit, Économie et Gestion",Anand A.,oui,Why should I share knowledge with others? A review-based framework on events leading to knowledge hiding,Journal of Organizational Change Management,0953-4814,False,False,Accès ouvert,Green,Archive ouverte,Hal,Emerald,Informatique et sciences de l'information,
SCOPUS_ID:85083254521,10.1103/PhysRevA.101.033832,2020,,Guerin W.,non,Optical-depth scaling of light scattering from a dense and cold atomic Rb87 gas,Physical Review A,2469-9926,False,False,Accès ouvert,Hybrid,Editeur et archive ouverte,"arXiv,Autres",American Physical Society (APS),Sciences physiques et astronomie,"National Science Foundation,Russian Foundation for Basic Research,Russian Science Foundation,Foundation for the Advancement of Theoretical Physics and Mathematics"
SCOPUS_ID:85084734091,10.1103/PhysRevD.101.083022,2020,Pacheco J.A.D.F.|Laboratoire Joseph-Louis Lagrange,Pacheco J.A.D.F.,oui,Primordial rotating black holes,Physical Review D,2470-0010,False,False,Accès ouvert,Green,Archive ouverte,arXiv,American Physical Society (APS),Sciences physiques et astronomie,
SCOPUS_ID:85084455255,10.1137/18M1229973,2020,,Favier G.,non,A TT-Based Hierarchical Framework for Decomposing High-Order Tensors,SIAM Journal on Scientific Computing,1064-8275,False,False,Accès ouvert,Green,Archive ouverte,Hal,Society for Industrial & Applied Mathematics (SIAM),Mathématiques,
SCOPUS_ID:85084930211,10.1158/0008-5472.CAN-19-2914,2020,,Schaub S.|Mallavialle A.|Gesson M.|Prod’homme V.|Lecacheur M.|Diazzi S.|Jouira R.B.|Berestjuk I.|Pisano S.|Gaggioli C.|Larbret F.|Tartare-Deckert S.|Mari B.|Deckert M.|Girard C.A.,non,A Feed-Forward Mechanosignaling Loop Confers Resistance to Therapies Targeting the MAPK Pathway in BRAF-Mutant Melanoma,Cancer Research,0008-5472,False,False,Accès ouvert,Green,Archive ouverte,"Hal,Autres",American Association for Cancer Research (AACR),Recherche médicale,"Inserm,Université Côte d’Azur,Ligue Contre le Cancer,Equipe labellisée Ligue Contre le Cancer,Institut National du Cancer,ARC,National Research Agency,ITMO Cancer Aviesan,ARC,La Ligue Contre le Cancer"
SCOPUS_ID:85084802462,10.1017/S0022377820000215,2020,,Lamberts A.|Lamberts A.,non,The growth of the longitudinal beam–plasma instability in the presence of an inhomogeneous background,Journal of Plasma Physics,0022-3778,False,False,Accès ouvert,Bronze,Editeur et archive ouverte,"arXiv,Autres",Cambridge University Press (CUP),Sciences physiques et astronomie,
SCOPUS_ID:85084415036,10.1108/JAAR-01-2019-0017,2020,Bescos P.L.|Groupe de Recherche en Management,Bescos P.L.|Deville A.,oui,BSC and long-term deployment: an actors' perspective,Journal of Applied Accounting Research,0967-5426,False,False,Accès fermé,Closed,Accès fermé,Autres,Emerald,Sciences sociales,
SCOPUS_ID:85084202179,10.4171/CMH/471,2019,Dimca A.|Laboratoire de Mathématiques J.A. Dieudonné,Dimca A.,oui,On rational cuspidal plane curves and the local cohomology of Jacobian rings,Commentarii Mathematici Helvetici,0010-2571,False,False,Accès ouvert,Green,Archive ouverte,arXiv,European Mathematical Society - EMS - Publishing House GmbH,Mathématiques,
SCOPUS_ID:85084592867,10.3390/APP10082745,2020,,Fatnassi H.,non,Behavior of Different Grafting Strategies Using Automated Technology for Splice Grafting Technique,Applied Sciences,2076-3417,True,True,Accès ouvert,Gold,Editeur et archive ouverte,Autres,,Inconnu,
SCOPUS_ID:85084591859,10.1103/PhysRevE.101.042604,2020,,Giraldi L.|El Alaoui-Faris Y.|Pomet J.B.,non,Optimal actuation of flagellar magnetic microswimmers,Physical Review E,2470-0045,False,False,Accès ouvert,Green,Archive ouverte,"Hal,arXiv",American Physical Society (APS),Sciences physiques et astronomie,"College of Natural Resources and Sciences, Humboldt State University"
SCOPUS_ID:85084801202,10.3842/SIGMA.2020.029,2020,Huang P.|Laboratoire de Mathématiques J.A. Dieudonné,Huang P.,oui,Non-Abelian Hodge Theory and Related Topics,"Symmetry, Integrability and Geometry: Methods and Applications",1815-0659,True,True,Accès ouvert,Gold,Editeur et archive ouverte,"arXiv,Autres","SIGMA (Symmetry, Integrability and Geometry: Methods and Application)",Mathématiques,
SCOPUS_ID:85085099183,10.3847/1538-4357/ab737e,2020,,Lamberts A.|Lamberts A.,non,Constraints on the Intergalactic Magnetic Field from Bow Ties in the Gamma-Ray Sky,The Astrophysical Journal,0004-637X,False,False,Accès ouvert,Bronze,Editeur et archive ouverte,"arXiv,Autres",American Astronomical Society,Sciences physiques et astronomie,"European research Council,NASA ATP"
SCOPUS_ID:85084935045,10.1103/PhysRevA.101.042307,2020,,Ng H.K.,non,Finding good quantum codes using the Cartan form,Physical Review A,2469-9926,False,False,Accès ouvert,Green,Archive ouverte,"arXiv,Autres",American Physical Society (APS),Sciences physiques et astronomie,
SCOPUS_ID:85084135916,10.17239/JOWR-2020.11.03.04,2020,"Fartoukh M.|Bases, Corpus et Langage",Fartoukh M.|Chanquoy L.,oui,Expressive writing in school children: Effects on well-being and working memory,Journal of Writing Research,2030-1006,True,True,Accès ouvert,Gold,Editeur,Autres,ARLE (International Associaton for Research in L1 Education),Sciences sociales,
SCOPUS_ID:85084812773,10.1109/TAP.2020.2963923,2020,,Descombes S.|Lanteri S.,non,An Exponential-Based DGTD Method for Modeling 3-D Plasma-Surrounded Hypersonic Vehicles,IEEE Transactions on Antennas and Propagation,0018-926X,False,False,Accès fermé,Closed,Accès fermé,Autres,Institute of Electrical and Electronics Engineers (IEEE),Informatique et sciences de l'information,National Natural Science Foundation of China
SCOPUS_ID:85084483038,10.1088/1475-7516/2020/03/050,2020,,Bizouard M.A.,non,Science case for the Einstein telescope,Journal of Cosmology and Astroparticle Physics,1475-7516,False,False,Accès ouvert,Green,Archive ouverte,arXiv,IOP Publishing,"Sciences de la Terre, écologie, énergie et biologie appliquée",
SCOPUS_ID:85084528597,10.1103/PhysRevE.101.042210,2020,,Tissoni G.,non,Interaction of cavity solitons on an unstable background,Physical Review E,2470-0045,False,False,Accès fermé,Closed,Accès fermé,Autres,American Physical Society (APS),Sciences physiques et astronomie,
SCOPUS_ID:85084593840,10.1103/PhysRevD.101.084002,2020,,Minazzoli O.|Fournier J.D.|Bizouard M.A.|Coulon J.P.|Heitmann H.|Chaibi O.|Merzougui M.|Kéfélian F.|Cleva F.|Boer M.|Pichot M.|Cipriano F.|MacQuet A.|Stachie C.|Harder T.|Radulesco N.|Vinet J.Y.|Santos E.|Brillet A.|Bogaert G.|Man N.|Christensen N.,non,Optically targeted search for gravitational waves emitted by core-collapse supernovae during the first and second observing runs of advanced LIGO and advanced Virgo,Physical Review D,2470-0010,False,False,Accès ouvert,Hybrid,Editeur et archive ouverte,"Hal,arXiv,Autres",American Physical Society (APS),Sciences physiques et astronomie,"National Science Foundation,Science and Technology Facilities Council,Australian Research Council,Instituto Nazionale di Fisica Nucleare,Centre National de la Recherche Scientifique,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,Council of Scientific and Industrial Research,Department of Science and Technology, Ministry of Science and Technology,Science and Engineering Research Board,Ministry of Human Resource Development,Spanish Agencia Estatal de Investigación,Universitat de les Illes Balears,Generalitat Valenciana,Narodowe Centrum Nauki,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,Russian Foundation for Basic Research,Russian Science Foundation,European Commission,European Regional Development Fund,Royal Society,Scottish Funding Council,Scottish Universities Physics Alliance,Országos Tudományos Kutatási Alapprogramok,Conseil Régional, Île-de-France,National Research, Development and Innovation,National Research Foundation of Korea,Ontario Ministry of Economic Development and Innovation,Natural Science and Engineering Research Council,Canadian Institute for Advanced Research,National Natural Science Foundation of China,Leverhulme Trust,Ministry of Science and Technology, Taiwan,Kavli Foundation,Gordon and Betty Moore Foundation,Ohio State University,Chinese Academy of Sciences,Villum Fonden,Fondo Nacional de Desarrollo Científico y Tecnológico,Ministerio de Economía, Fomento y Turismo,Max-Planck-Society,State of Niedersachsen,Vicepresidència i Conselleria d’Innovació,Lyon Institute of Origins,Brazilian Ministry of Science, Technology, Innovations, and Communications,American Institute for Fundamental Research,Research Grants Council of Hong Kong,Research Corporation,Mt. Cuba Astronomical Foundation,South America Center for Astronomy,George Skestos,LIGO"
SCOPUS_ID:85084578944,10.7554/eLife.54493,2020,,Wakkach A.|Madel M.B.|Boutin A.|Halper J.|Blin-Wakkach C.|Rouleau M.,non,Dissecting the phenotypic and functional heterogeneity of mouse inflammatory osteoclasts by the expression of Cx3cr1,eLife,2050-084X,True,True,Accès ouvert,Gold,Editeur et archive ouverte,"Hal,Autres","eLife Sciences Publications, Ltd",Biologie fondamentale,"Agence Nationale de la Recherche,Agence Nationale de la Recherche,Fondation pour la Recherche Médicale,Fondation Arthritis,Société Française de Biologie des TissusMinéralisés,European Calcified Tissue Society,American Society of Bone and Mineral Research,National Cancer Institute"
SCOPUS_ID:85084495142,10.1029/2020GL087142,2020,,Cappa F.|De Barros L.|Deschamps A.,non,"Imbricated Aseismic Slip and Fluid Diffusion Drive a Seismic Swarm in the Corinth Gulf, Greece",Geophysical Research Letters,0094-8276,False,False,Accès ouvert,Green,Archive ouverte,Hal,American Geophysical Union (AGU),"Sciences de la Terre, écologie, énergie et biologie appliquée",
SCOPUS_ID:85085037592,10.7554/eLife.53895,2020,,Gregoire E.P.|Rekima S.|Vidal V.P.I.|Motamedi F.J.|Schedl A.|Chaboissier M.C.,non,R-spondin signalling is essential for the maintenance and differentiation of mouse nephron progenitors,eLife,2050-084X,True,True,Accès ouvert,Gold,Editeur et archive ouverte,"Hal,Autres","eLife Sciences Publications, Ltd",Biologie fondamentale,"European Commission,Ligue Contre le Cancer"
SCOPUS_ID:85084495935,10.1137/19M1292424,2020,,Goatin P.,non,A Macroscopic Model for Platooning in Highway Traffic,SIAM Journal on Applied Mathematics,0036-1399,False,False,Accès ouvert,Green,Archive ouverte,Hal,Society for Industrial & Applied Mathematics (SIAM),Mathématiques,
SCOPUS_ID:85084735528,10.1137/19M1255616,2020,,Chaumont-Frelet T.|Valentin F.,non,A Multiscale Hybrid-Mixed Method for the Helmholtz Equation in Heterogeneous Domains,SIAM Journal on Numerical Analysis,0036-1429,False,False,Accès ouvert,Green,Archive ouverte,Hal,Society for Industrial & Applied Mathematics (SIAM),Mathématiques,"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,Horizon 2020 Framework Programme,Institut national de recherche en informatique et en automatique,Conselho Nacional de Desenvolvimento Científico e Tecnológico,Ministério da Ciência, Tecnologia e Inovação"
SCOPUS_ID:85084824931,10.1017/S1360674320000155,2020,"Trapateau N.|Bases, Corpus et Langage",Trapateau N.,oui,Lexical diffusion in the making: the lengthening of Middle English /a/ during the eighteenth century and across the diasystem of English,English Language and Linguistics,1360-6743,False,False,Accès fermé,Closed,Accès fermé,Autres,Cambridge University Press (CUP),Sciences humaines,
SCOPUS_ID:85084391468,10.1364/OE.393048,2020,,Migeon S.|Larnicol M.,non,Potential for nocturnal satellite detection of suspended matter concentrations in coastal waters using a panchromatic band: a feasibility study based on VIIRS (NASA/NOAA) spectral and radiometric specifications,Optics Express,1094-4087,True,True,Accès ouvert,Gold,Editeur et archive ouverte,"Hal,Autres",The Optical Society,Sciences physiques et astronomie,Thales Group
SCOPUS_ID:85084484691,10.1242/jcs.242768,2020,"Boulter E.|Institut de Recherche sur le Cancer et le Vieillissement, Nice",Boulter E.,oui,First person – Etienne Boulter,Journal of Cell Science,0021-9533,False,False,Accès ouvert,Bronze,Editeur,Autres,The Company of Biologists,Biologie fondamentale,
SCOPUS_ID:85084243989,10.1017/S1743921318005124,2020,,Ricci M.,non,The AGN dependence on cluster mass,Proceedings of the International Astronomical Union,1743-9213,False,False,Accès fermé,Closed,Accès fermé,Autres,Cambridge University Press (CUP),Sciences physiques et astronomie,
SCOPUS_ID:85084829954,10.3847/1538-4357/aa8c03,2017,,Hayden M.R.,non,The Chemical Abundance Structure of the Inner Milky Way: A Signature of “Upside-down” Disk Formation,The Astrophysical Journal,0004-637X,False,False,Accès ouvert,Bronze,Editeur et archive ouverte,"arXiv,Autres",American Astronomical Society,Sciences physiques et astronomie,
SCOPUS_ID:85085272414,10.1088/2051-672X/ab8751,2020,Jinyang F.|Le Laboratoire Géoazur,Jinyang F.,oui,Oil-water separation device based on super-hydrophobic material with multi-scale surface structure,Surface Topography: Metrology and Properties,2051-672X,False,False,Accès fermé,Closed,Accès fermé,Autres,IOP Publishing,Ingénierie,National Natural Science Fund of China
SCOPUS_ID:85086140437,10.1109/LAWP.2020.2985399,2020,,Luxey C.|Titz D.|Nachabe N.|Garnero J.P.|Vizzari J.F.,non,3D-Printed transmit-array antenna for broadband backhaul 5G links at V band,IEEE Antennas and Wireless Propagation Letters,1536-1225,False,False,Accès ouvert,Green,Archive ouverte,Autres,Institute of Electrical and Electronics Engineers (IEEE),Informatique et sciences de l'information,FCT
SCOPUS_ID:85086016540,10.1093/mnras/stx2063,2017,,Suárez O.|Bendjoya P.,non,Erratum: Polarization properties of OH emission in planetary nebulae,Monthly Notices of the Royal Astronomical Society,0035-8711,False,False,Accès ouvert,Bronze,Editeur et archive ouverte,"arXiv,Autres",Oxford University Press (OUP),"Sciences de la Terre, écologie, énergie et biologie appliquée",
SCOPUS_ID:85085101189,10.1017/S1743921319008536,2019,,Wegg C.,non,Constraining the Milky Way non-axisymmetries with Gaia,Proceedings of the International Astronomical Union,1743-9213,False,False,Accès fermé,Closed,Accès fermé,Autres,Cambridge University Press (CUP),"Sciences de la Terre, écologie, énergie et biologie appliquée",
SCOPUS_ID:85085857518,10.3934/nhm.2020012,2020,,Goatin P.,non,Comparative study of macroscopic traffic flow models at road junctions,Networks & Heterogeneous Media,1556-1801,True,False,Accès ouvert,Gold,Editeur et archive ouverte,"Hal,Autres",American Institute of Mathematical Sciences (AIMS),Sciences sociales,
SCOPUS_ID:85085626080,10.1088/2053-1583/ab817a,2020,,Xiong Q.,non,Probing momentum-indirect excitons by near-resonance photoluminescence excitation spectroscopy in WS2 monolayer,2D Materials,2053-1583,False,False,Accès ouvert,Hybrid,Editeur,Autres,IOP Publishing,Sciences physiques et astronomie,"National Research Foundation Singapore,Singapore Ministry of Education"
SCOPUS_ID:85085842145,10.1103/PhysRevA.101.052111,2020,,Paterek T.|Wilkowski D.,non,Atomic test of higher-order interference,Physical Review A,2469-9926,False,False,Accès ouvert,Green,Archive ouverte,"arXiv,Autres",American Physical Society (APS),Sciences physiques et astronomie,Centre for Quantum Technologies
SCOPUS_ID:85085526211,10.1101/gr.253351.119,2020,,Holt S.|Yue J.X.|Hallin J.|Irizar A.|Barré B.P.|Liti G.,non,Intragenic repeat expansion in the cell wall protein geneHPF1controls yeast chronological aging,Genome Research,1088-9051,False,False,Accès ouvert,Hybrid,Editeur et archive ouverte,"Hal,Autres",Cold Spring Harbor Laboratory,Biologie fondamentale,"Agence Nationale de la Recherche,Fondation de France,the Swedish Research Council,the Swedish Cancer Fund,La Ligue Contre le Cancer,Fondation pour la Recherche Médicale"
SCOPUS_ID:85085358346,10.7554/eLife.53972,2020,,Gregoire E.P.|De Cian M.C.|Richardson N.|Gillot I.|Chaboissier M.C.,non,Sox8 and Sox9 act redundantly for ovarian-to-testicular fate reprogramming in the absence of R-spondin1 in mouse sex reversals,eLife,2050-084X,True,True,Accès ouvert,Gold,Editeur et archive ouverte,"Hal,Autres","eLife Sciences Publications, Ltd",Biologie fondamentale,"Agence Nationale de la Recherche,Agence Nationale de la Recherche,Agence Nationale de la Recherche"
SCOPUS_ID:85085520841,10.1029/2020JB019781,2020,Manighetti I.|Le Laboratoire Géoazur,Manighetti I.,oui,Thank You to Our 2019 Reviewers,Journal of Geophysical Research: Solid Earth,2169-9313,False,False,Accès ouvert,Bronze,Editeur et archive ouverte,"Hal,Autres",American Geophysical Union (AGU),"Sciences de la Terre, écologie, énergie et biologie appliquée",
SCOPUS_ID:85085841863,10.1103/PhysRevA.101.053626,2020,,Kaiser R.|Gaudesius M.|Labeyrie G.,non,Instability threshold in a large balanced magneto-optical trap,Physical Review A,2469-9926,False,False,Accès ouvert,Green,Archive ouverte,"Hal,arXiv",American Physical Society (APS),Sciences physiques et astronomie,Horizon 2020
SCOPUS_ID:85085158397,10.1172/JCI131842,2020,,Lambeau G.,non,PLA2G1B is involved in CD4 anergy and CD4 lymphopenia in HIV-infected patients,Journal of Clinical Investigation,0021-9738,False,False,Accès ouvert,Bronze,Editeur et archive ouverte,"Hal,Autres",American Society for Clinical Investigation,Recherche médicale,
SCOPUS_ID:85085264739,10.7554/eLife.54935,2020,,Maï M.E.|Ferreira M.G.,non,Opposing p53 and mTOR/AKT promote an in vivo switch from apoptosis to senescence upon telomere shortening in zebrafish,eLife,2050-084X,True,True,Accès ouvert,Gold,Editeur et archive ouverte,"Hal,Autres","eLife Sciences Publications, Ltd",Biologie fondamentale,"Fundação para a Ciência e a Tecnologia,Fondation ARC pour la Recherche sur le Cancer,Université Côte d’Azur - Académie 4,Howard Hughes Medical Institute,Ville de Nice"
SCOPUS_ID:85085144284,10.1017/S1743921319008779,2019,,Wegg C.,non,New VIRAC proper motion maps show signature of galactic boxy/peanut bulge,Proceedings of the International Astronomical Union,1743-9213,False,False,Accès fermé,Closed,Accès fermé,Autres,Cambridge University Press (CUP),Sciences physiques et astronomie,
SCOPUS_ID:85085307723,10.3390/RS12091445,2020,,Migeon S.|Larnicol M.,non,Influence of the Suspended Particulate Matter on the Satellite Radiance in the Sunglint Observation Geometry in Coastal Waters,Remote Sensing,2072-4292,True,True,Accès ouvert,Gold,Editeur et archive ouverte,"Hal,Autres",,Inconnu,
SCOPUS_ID:85085842614,10.1103/PhysRevA.101.053601,2020,,Griffin A.|Nazarenko S.,non,Magnus-force model for active particles trapped on superfluid vortices,Physical Review A,2469-9926,False,False,Accès ouvert,Green,Archive ouverte,"Hal,Autres",American Physical Society (APS),Sciences physiques et astronomie,"Agence Nationale de la Recherche,Horizon 2020,H2020 Future and Emerging Technologies,University of Warwick,Grand Équipement National De Calcul Intensif"
SCOPUS_ID:85085590867,10.3390/BIOMIMETICS5020015,2020,Godeau G.|Institut de Physique de Nice,Godeau G.|Godeau R.P.|Fournier P.,oui,"Chitosan Extraction from Goliathus orientalis Moser, 1909: Characterization and Comparison with Commercially Available Chitosan",Biomimetics,2313-7673,True,True,Accès ouvert,Gold,Editeur et archive ouverte,Autres,,Inconnu,Agence Nationale de la Recherche
SCOPUS_ID:85085132678,10.1103/PhysRevApplied.13.041004,2020,,Del Hougne P.|Kuhl U.,non,Optimal Multiplexing of Spatially Encoded Information across Custom-Tailored Configurations of a Metasurface-Tunable Chaotic Cavity,Physical Review Applied,2331-7019,False,False,Accès ouvert,Green,Archive ouverte,arXiv,American Physical Society (APS),Sciences physiques et astronomie,French Agence Nationale de la Recherche
SCOPUS_ID:85085123208,10.1108/TLO-02-2020-0023,2020,"Anand A.|Groupe de Recherche en Droit, Économie et Gestion",Anand A.,oui,Interorganizational learning: a bibliometric review and research agenda,The Learning Organization,0969-6474,False,False,Accès ouvert,Green,Archive ouverte,"Hal,Autres",Emerald,Sciences sociales,
SCOPUS_ID:85085753056,10.1002/JPER.19-0583,2020,,Doglio A.,non,Periodontal disease and detection of human herpesviruses in saliva and gingival crevicular fluid of chronic kidney disease patients,Journal of Periodontology,0022-3492,False,False,Accès fermé,Closed,Accès fermé,Autres,Wiley,Recherche médicale,"Conselho Nacional de Desenvolvimento Científico e Tecnológico,Fundação de Amparo à Pesquisa do Estado de São Paulo"
SCOPUS_ID:85086070762,10.1109/LAWP.2020.2973538,2020,,Ferrero F.|Lizzi L.|Nguyen T.Q.K.,non,Experimental Evaluation of User's Finger Effects on a 5G Terminal Antenna Array at 26 GHz,IEEE Antennas and Wireless Propagation Letters,1536-1225,False,False,Accès ouvert,Green,Archive ouverte,Autres,Institute of Electrical and Electronics Engineers (IEEE),Informatique et sciences de l'information,"Academy of Finland Research Project,FUI MASS-START project"
SCOPUS_ID:85086504951,10.1117/1.JATIS.6.2.029004,2020,,Aristidi E.|Abe L.|Carbillet M.,non,XSAO: an extremely small adaptive optics module for small-aperture telescopes with multiactuator adaptive lens,"Journal of Astronomical Telescopes, Instruments, and Systems",2329-4124,False,False,Accès fermé,Closed,Accès fermé,Autres,SPIE-Intl Soc Optical Eng,Sciences physiques et astronomie,
SCOPUS_ID:85086969524,10.1103/PhysRevE.101.052208,2020,,Dolcemascolo A.|Miazek A.|Barland S.,non,Effective low-dimensional dynamics of a mean-field coupled network of slow-fast spiking lasers,Physical Review E,2470-0045,False,False,Accès ouvert,Green,Archive ouverte,arXiv,American Physical Society (APS),Sciences physiques et astronomie,"Centre National de la Recherche Scientifique,Federación Española de Enfermedades Raras"
SCOPUS_ID:85086311317,10.1103/PhysRevE.101.053105,2020,,Vincenzi D.,non,Elastoinertial chains in a two-dimensional turbulent flow,Physical Review E,2470-0045,False,False,Accès ouvert,Green,Archive ouverte,"Hal,arXiv",American Physical Society (APS),Sciences physiques et astronomie,"Tata Institute of Fundamental Research,Department of Atomic Energy, Government of India,Department of Science and Technology, Ministry of Science and Technology,Indian Institute of Technology Bombay,Industrial Research and Consultancy Centre,Indo-French Centre for Applied Mathematics"
SCOPUS_ID:85087060532,10.1016/j.difgeo.2020.101659,2020,,Dumitrescu S.,non,Projective structures on Riemann surface and natural differential operators,Differential Geometry and its Applications,0926-2245,False,False,Accès ouvert,Green,Archive ouverte,arXiv,Elsevier BV,Sciences physiques et astronomie,"ANR,J.C. Bose Fellowship"
SCOPUS_ID:85086313225,10.1103/PhysRevE.101.053301,2020,,Poletti D.|Gattobigio M.|Miniatura C.|Miniatura C.|Hébert F.,non,Transfer learning for scalability of neural-network quantum states,Physical Review E,2470-0045,False,False,Accès ouvert,Green,Archive ouverte,"arXiv,Autres",American Physical Society (APS),Sciences physiques et astronomie,National University of Singapore
SCOPUS_ID:85087026927,10.1103/PhysRevD.101.123021,2020,,Cornish N.J.,non,Global analysis of the gravitational wave signal from Galactic binaries,Physical Review D,2470-0010,False,False,Accès ouvert,Green,Archive ouverte,arXiv,American Physical Society (APS),Sciences physiques et astronomie,"National Aeronautics and Space Administration,Marshall Space Flight Center,Centre National d’Etudes Spatiales,NASA LISA Study Office,NASA LISA Preparatory Science,Observatoire de la Côte d’Azur"
SCOPUS_ID:85086938360,10.3847/2041-8213/ab961d,2020,,Lamberts A.|Lamberts A.,non,GW190412 as a Third-generation Black Hole Merger from a Super Star Cluster,The Astrophysical Journal,2041-8205,False,False,Accès ouvert,Bronze,Editeur et archive ouverte,"arXiv,Autres",American Astronomical Society,"Sciences de la Terre, écologie, énergie et biologie appliquée","NSF,NSF XSEDE"
SCOPUS_ID:85086785446,10.1108/MD-11-2019-1601,2020,,Anand A.,non,Back to the future of Knowledge Management Systems off the beaten paths,Management Decision,0025-1747,False,False,Accès fermé,Closed,Accès fermé,Autres,Emerald,Informatique et sciences de l'information,
SCOPUS_ID:85086426357,10.3847/1538-3881/ab5850,2020,,Abe L.|Martinache F.,non,Subaru Near-infrared Imaging Polarimetry of Misaligned Disks around the SR 24 Hierarchical Triple System,The Astronomical Journal,0004-6256,False,False,Accès ouvert,Hybrid,Editeur et archive ouverte,"arXiv,Autres",American Astronomical Society,Sciences physiques et astronomie,"JSPS KAKENHI,JSPS KAKENHI"
SCOPUS_ID:85086591625,10.1364/OME.394068,2020,,Blanc W.,non,Preparation and properties of Tm-doped SiO<sub>2</sub>-ZrO<sub>2</sub> phase separated optical fibers for use in fiber lasers,Optical Materials Express,2159-3930,True,True,Accès ouvert,Gold,Editeur et archive ouverte,"Hal,Autres",The Optical Society,Sciences physiques et astronomie,"Grantová Agentura České Republiky,Centre National de la Recherche Scientifique"
SCOPUS_ID:85086792911,10.5414/NP301238,2020,,Burel-Vandenbos F.|Pedeutour F.,non,Intracranial chondromas: A histopathologic and molecular study of three cases,Clinical Neuropathology,0722-5091,False,False,Accès fermé,Closed,Accès fermé,Autres,Dustri-Verlgag Dr. Karl Feistle,Recherche médicale,
SCOPUS_ID:85087858934,10.1016/S0140-6736(20)30747-9,2020,,Passeron T.,non,First step in a new era for treatment of patients with vitiligo,The Lancet,0140-6736,False,False,Accès fermé,Closed,Accès fermé,Autres,Elsevier BV,Recherche médicale,
SCOPUS_ID:85087744065,10.1017/S095410202000036X,2020,,Duclaux G.,non,Antarctic erosion history reconstructed by Terre Adélie moraine geochronology,Antarctic Science,0954-1020,False,False,Accès fermé,Closed,Accès fermé,Autres,Cambridge University Press (CUP),"Sciences de la Terre, écologie, énergie et biologie appliquée",
SCOPUS_ID:85087364172,10.1144/SP500-2019-188,2020,,Migeon S.,non,The Last Glacial Maximum Balearic Abyssal Plain megabed revisited,"Geological Society, London, Special Publications",0305-8719,False,False,Accès ouvert,Green,Archive ouverte,"Hal,arXiv,Autres",Geological Society of London,"Sciences de la Terre, écologie, énergie et biologie appliquée","H2020 Marie Skłodowska-Curie Actions,H2020 Marie Skłodowska-Curie Actions,H2020 Marie Skłodowska-Curie Actions"
SCOPUS_ID:85087693978,10.1016/S0222-9617(20)30131-8,2020,,Thümmler S.|Fernandez A.|Menard M.L.|Askenazy F.|David A.|Dumas L.|Krieger V.,non,Les psychotropes chez les enfants et les adolescents : nouvelles actualités,Neuropsychiatrie de l'Enfance et de l'Adolescence,0222-9617,False,False,Accès fermé,Closed,Accès fermé,Autres,Elsevier BV,Recherche médicale,
SCOPUS_ID:85087147300,10.1103/PhysRevA.101.063604,2020,,Albert M.|Vignolo P.,non,Full counting statistics of the momentum occupation numbers of the Tonks-Girardeau gas,Physical Review A,2469-9926,False,False,Accès ouvert,Green,Archive ouverte,arXiv,American Physical Society (APS),Sciences physiques et astronomie,"Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,National Center of Competence in Research Quantum Science and Technology"
SCOPUS_ID:85087357994,10.1530/EC-20-0109,2020,,Bouguerra H.|Louet J.F.|Clavel S.,non,Leptin decreases BC cell susceptibility to NK lysis via PGC1A pathway,Endocrine Connections,2049-3614,True,True,Accès ouvert,Gold,Editeur et archive ouverte,"Hal,Autres",,Inconnu,
SCOPUS_ID:85087725533,10.1016/S0222-9617(20)30128-8,2020,,Thümmler S.|Fernandez A.|Menard M.L.|Askenazy F.|David A.|Dumas L.|Krieger V.,non,Crises psychiatriques en période périnatale,Neuropsychiatrie de l'Enfance et de l'Adolescence,0222-9617,False,False,Accès fermé,Closed,Accès fermé,Autres,Elsevier BV,Recherche médicale,
